"Time","Weight","Concentration"
42,48,0.467788105936692
43,48,0.414984957006344
44,48,0.368142140332366
45,48,0.326586863452074
46,48,0.289722277604975
47,48,0.257018905333074
48,48,0.228007035719498
49,48,0.202269978040025
50,48,0.179438076931298
51,48,0.159183403116952
52,48,0.141215043435824
53,48,0.125274922523993
54,48,0.111134096138451
55,48,0.098589462884282
56,48,0.0874608471166416
57,48,0.0775884111199483
58,48,0.0688303593960122
59,48,0.0610609020883293
1,49,62.1988251266562
2,49,55.1781553246411
3,49,48.9497362692358
4,49,43.4243708708358
5,49,38.5226995944616
6,49,34.1743208775374
7,49,30.3167799696155
8,49,26.8946719093459
9,49,23.8588457559246
10,49,21.1656986455815
11,49,18.7765495338066
12,49,16.6570836285195
13,49,14.7768595347051
14,49,13.1088720317491
15,49,11.6291642037459
16,49,10.3164833518968
17,49,9.15197574694846
18,49,8.11891583747216
19,49,7.20246602466521
20,49,6.38946355337614
21,49,5.66823145851905
22,49,5.02841085154456
23,49,4.46081213813688
24,49,3.95728303021163
25,49,3.51059145650137
26,49,3.11432169000086
27,49,2.7627822003748
28,49,2.45092390783359
29,49,2.17426766437664
30,49,1.92883992083316
31,49,1.71111565570117
32,49,1.51796774608488
33,49,1.34662205355709
34,49,1.1946175798553
35,49,1.05977112013696
36,49,0.940145906116987
37,49,0.834023788716101
38,49,0.739880560685867
39,49,0.656364064775105
40,49,0.582274773010302
41,49,0.516548558154792
42,49,0.458241409897167
43,49,0.406515876251113
44,49,0.360629035427624
45,49,0.31992182542244
46,49,0.283809578062016
47,49,0.251773621550767
48,49,0.223353830908896
49,49,0.198142019304515
50,49,0.175776075361271
51,49,0.155934762237014
52,49,0.138333103773868
53,49,0.122718291452075
54,49,0.108866053360115
55,49,0.0965774330295007
56,49,0.0856759318693632
57,49,0.0760049741583167
58,49,0.0674256581838487
59,49,0.0598147612293838
1,50,91.4322729361846
2,50,81.1118883272223
3,50,71.9561123157767
4,50,63.8338251801286
5,50,56.6283684038585
6,50,50.2362516899799
7,50,44.5656665553347
8,50,39.5351677067385
9,50,35.0725032612091
10,50,31.1135770090048
11,50,27.6015278146957
12,50,24.4859129339237
13,50,21.7219835160166
14,50,19.2700418866712
15,50,17.0948713795065
16,50,15.1652305272883
17,50,13.4534043480142
18,50,11.9348062810841
19,50,10.5876250562579
20,50,9.39251142346292
21,50,8.332300244023
22,50,7.3917639517705
23,50,6.55739384306121
24,50,5.81720605441109
25,50,5.16056944105701
26,50,4.57805288430127
27,50,4.06128983455096
28,50,3.60285814451538
29,50,3.19617346663366
30,50,2.83539468362475
31,50,2.51534001388072
32,50,2.23141258674477
33,50,1.97953441872892
34,50,1.75608784238729
35,50,1.55786354660133
36,50,1.38201448199197
37,50,1.22601496941267
38,50,1.08762442420822
39,50,0.964855175219405
40,50,0.855943916325144
41,50,0.759326380487544
42,50,0.673614872548836
43,50,0.597578338089136
44,50,0.530124682078608
45,50,0.470285083370986
46,50,0.417200079751164
47,50,0.370107223679627
48,50,0.328330131436077
49,50,0.291268768377637
50,50,0.258390830781069
51,50,0.22922410048841
52,50,0.203349662547586
53,50,0.18039588843455
54,50,0.16003309843937
55,50,0.141968826553366
56,50,0.125943619847964
57,50,0.111727312012726
58,50,0.0991157175302575
59,50,0.0879276990071941
1,51,89.6394832707693
2,51,79.5214591443357
3,51,70.5452081527222
4,51,62.5821815491457
5,51,55.5180082390769
6,51,49.2512271470391
7,51,43.6918299562105
8,51,38.7599683399397
9,51,34.3848071188325
10,51,30.5035068715733
11,51,27.0603213869566
12,51,24.0057969940429
13,51,21.2960622706045
14,51,18.892197928109
15,51,16.7596778230456
16,51,14.8678730659689
17,51,13.1896121058963
18,51,11.7007904716511
19,51,10.3800245649587
20,51,9.20834453280678
21,51,8.16892180786569
22,51,7.24682740369657
23,51,6.42881749319726
24,51,5.70314319059911
25,51,5.05938180495786
26,51,4.48828714147183
27,51,3.98165670054015
28,51,3.53221386717194
29,51,3.13350339866045
30,51,2.77979870943603
31,51,2.46601962145168
32,51,2.18765939876938
33,51,1.94072001836169
34,51,1.72165474743851
35,51,1.52731720255032
36,51,1.35491615881566
37,51,1.2019754602085
38,51,1.0662984551061
39,51,0.945936446293533
40,51,0.839160702279552
41,51,0.744437627928963
42,51,0.660406737792976
43,51,0.585861115773662
44,51,0.519730080469223
45,51,0.461063807226457
46,51,0.409019686030552
47,51,0.362850219293751
48,51,0.321892285721643
49,51,0.285557616056506
50,51,0.253324343903008
51,51,0.224729510282755
52,51,0.199362414262339
53,51,0.176858714151519
54,51,0.156895194548401
55,51,0.139185124071927
56,51,0.123474137105847
57,51,0.109536580404633
58,51,0.0971722720884876
59,51,0.0862036264776412
1,52,87.9156470540237
2,52,77.9922003146369
3,52,69.1885695344006
4,52,61.378678057816
5,52,54.4503542344793
6,52,48.3040881634422
7,52,42.8516024570526
8,52,38.0145843334024
