"IC50_SP_R","IC50_SP","Age","Number_round","Coverage_reduction","Coverage","eir","Access","half_life_long","Dosage_long","seed","seasonality","scenario_name","Indicator","Indicator_1","Input_EIR","Simulated_EIR","time_eir","time_eir_2","Liste","time_0.1"
5,2.39,5,4,0.1,0.95,"100","0.1",15,30,3,"sesonality2","scenario_421_3.txt",0.0502621145901858,0.0500376030588771,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1104,15.2371883793625
10,2.39,5,4,0.1,0.95,"100","0.1",15,30,3,"sesonality2","scenario_422_3.txt",0.0363165930565393,0.035984789610417,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1107,21.0882476548241
15,2.39,5,4,0.1,0.95,"100","0.1",15,30,3,"sesonality2","scenario_423_3.txt",0.0314956955368379,0.0314365379270523,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1110,24.3161262293766
21,2.39,5,4,0.1,0.95,"100","0.1",15,30,3,"sesonality2","scenario_424_3.txt",0.0194155591648444,0.0194562425887228,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1113,39.4453387540076
25,2.39,5,4,0.1,0.95,"100","0.1",15,30,3,"sesonality2","scenario_425_3.txt",0.0124094232945411,0.0121929651677614,113.950081897401,100.452625863201,8.2236842105263,8.30946271929825,1116,61.7154633360491
5,2.39,5,4,0.1,0.75,"150","0.1",15,30,3,"sesonality2","scenario_469_3.txt",0.0356638650153821,0.0357505511951845,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1260,21.4742094841781
10,2.39,5,4,0.1,0.75,"150","0.1",15,30,3,"sesonality2","scenario_470_3.txt",0.0255219203093559,0.0253344364525132,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1266,30.0076678820683
15,2.39,5,4,0.1,0.75,"150","0.1",15,30,3,"sesonality2","scenario_471_3.txt",0.0238702439976503,0.0238609016646846,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1269,32.0840167545482
21,2.39,5,4,0.1,0.75,"150","0.1",15,30,3,"sesonality2","scenario_472_3.txt",0.0131663372040698,0.0130103741668996,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1272,58.1675295479319
25,2.39,5,4,0.1,0.75,"150","0.1",15,30,3,"sesonality2","scenario_473_3.txt",0.0106498389820257,0.0102792696420571,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1275,71.9121960105065
5,2.39,5,4,0.1,0.95,"150","0.1",15,30,3,"sesonality2","scenario_493_3.txt",0.0501526921771958,0.0499333910655484,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1341,15.2704326549392
10,2.39,5,4,0.1,0.95,"150","0.1",15,30,3,"sesonality2","scenario_494_3.txt",0.0378317840188548,0.0376566414807214,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1344,20.243647721558
15,2.39,5,4,0.1,0.95,"150","0.1",15,30,3,"sesonality2","scenario_495_3.txt",0.0302341418141049,0.0300193418810091,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1347,25.3307440662489
21,2.39,5,4,0.1,0.95,"150","0.1",15,30,3,"sesonality2","scenario_496_3.txt",0.0149218906308539,0.0143901663882905,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1350,51.3241470066946
25,2.39,5,4,0.1,0.95,"150","0.1",15,30,3,"sesonality2","scenario_497_3.txt",0.0130564363492048,0.0128353950756765,164.658825165527,150.971395688919,8.2236842105263,8.30946271929825,1353,58.6571471627026
5,2.39,5,4,0.1,0.75,"25","0.2",15,30,3,"sesonality2","scenario_541_3.txt",0.0285858011868846,0.0291451606605433,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1503,26.7913886110404
10,2.39,5,4,0.1,0.75,"25","0.2",15,30,3,"sesonality2","scenario_542_3.txt",0.0245181063758773,0.0250891352246888,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1506,31.2362340147634
15,2.39,5,4,0.1,0.75,"25","0.2",15,30,3,"sesonality2","scenario_543_3.txt",0.0158837935918205,0.0161591496866365,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1509,48.2160199280195
21,2.39,5,4,0.1,0.75,"25","0.2",15,30,3,"sesonality2","scenario_544_3.txt",0.00994897794982202,0.00998483252128747,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1512,76.9780888266483
25,2.39,5,4,0.1,0.75,"25","0.2",15,30,3,"sesonality2","scenario_545_3.txt",0.00876640996881192,0.0088029118832254,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1515,87.3622510332537
5,2.39,5,4,0.1,0.95,"25","0.2",15,30,3,"sesonality2","scenario_565_3.txt",0.034688070919928,0.0356302514540682,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1581,22.0782905490368
10,2.39,5,4,0.1,0.95,"25","0.2",15,30,3,"sesonality2","scenario_566_3.txt",0.0254875148248245,0.0259456986439003,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1584,30.0481751013965
15,2.39,5,4,0.1,0.95,"25","0.2",15,30,3,"sesonality2","scenario_567_3.txt",0.0244626798766743,0.0245485818838793,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1587,31.3070077447248
21,2.39,5,4,0.1,0.95,"25","0.2",15,30,3,"sesonality2","scenario_568_3.txt",0.0144857070970938,0.0148942588830746,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1590,52.8695840128795
25,2.39,5,4,0.1,0.95,"25","0.2",15,30,3,"sesonality2","scenario_569_3.txt",0.00956451303466113,0.0093625960556585,31.7652127998632,25.6771103861833,8.38815789473686,8.30946271929825,1593,80.0723785497877
5,2.39,5,4,0.1,0.75,"50","0.2",15,30,3,"sesonality2","scenario_577_3.txt",0.0259501397296203,0.0254200530530424,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1620,29.5124926622879
10,2.39,5,4,0.1,0.75,"50","0.2",15,30,3,"sesonality2","scenario_578_3.txt",0.0233043822872889,0.0235352286109835,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1623,32.8630597848324
15,2.39,5,4,0.1,0.75,"50","0.2",15,30,3,"sesonality2","scenario_579_3.txt",0.0210832476596113,0.0212080471942592,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1626,36.3252057140558
21,2.39,5,4,0.1,0.75,"50","0.2",15,30,3,"sesonality2","scenario_580_3.txt",0.0101236833437758,0.00958445012158279,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1632,75.6496704163138
25,2.39,5,4,0.1,0.75,"50","0.2",15,30,3,"sesonality2","scenario_581_3.txt",0.00609237869681154,0.00587311870836885,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1635,125.706779973572
5,2.39,5,4,0.1,0.95,"50","0.2",15,30,3,"sesonality2","scenario_601_3.txt",0.0341897745554047,0.0339067957202952,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1704,22.4000689771936
10,2.39,5,4,0.1,0.95,"50","0.2",15,30,3,"sesonality2","scenario_602_3.txt",0.0281246672455601,0.0279267134493735,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1707,27.2306620259362
15,2.39,5,4,0.1,0.95,"50","0.2",15,30,3,"sesonality2","scenario_603_3.txt",0.0268526113528606,0.0270157108952535,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1710,28.520626850475
21,2.39,5,4,0.1,0.95,"50","0.2",15,30,3,"sesonality2","scenario_604_3.txt",0.0117689005481329,0.0110912527538888,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1713,65.07432917999
25,2.39,5,4,0.1,0.95,"50","0.2",15,30,3,"sesonality2","scenario_605_3.txt",0.00996591150080143,0.00987410073071205,62.1544199389877,49.7816885261286,8.38815789473686,8.30946271929825,1716,76.8472917197967
5,2.39,5,4,0.1,0.75,"100","0.2",15,30,3,"sesonality2","scenario_649_3.txt",0.0353938398511639,0.035729268844061,114.83848251026,101.06492348933,8.2236842105263,8.30946271929825,1860,21.6380396017015
