"Age","Number_round","Coverage_reduction","Coverage","Access","EIR","Seasonality","PE_1","PP"
5,4,0.1,1,"0.4","100","sesonality2",0.474430569420555,21
5,4,0.1,1,"0.4","125","sesonality2",0.786591618645661,35
5,4,0.1,1,"0.4","125","sesonality2",0.499901472928347,21
5,4,0.1,1,"0.4","150","sesonality2",0.783279184384306,35
5,4,0.1,1,"0.4","150","sesonality2",0.527198758757689,21
5,4,0.1,0.75,"0.05","10","sesonality2",0.668282656394773,35
5,4,0.1,0.75,"0.05","10","sesonality2",0.536773413663706,21
5,4,0.1,0.75,"0.05","25","sesonality2",0.642329163962984,35
5,4,0.1,0.75,"0.05","25","sesonality2",0.502521364793817,21
5,4,0.1,0.75,"0.05","50","sesonality2",0.606771316424916,35
5,4,0.1,0.75,"0.05","50","sesonality2",0.459835331459135,21
5,4,0.1,0.75,"0.05","75","sesonality2",0.634903713380481,35
5,4,0.1,0.75,"0.05","75","sesonality2",0.483141598989945,21
5,4,0.1,0.75,"0.05","100","sesonality2",0.624756305805036,35
5,4,0.1,0.75,"0.05","100","sesonality2",0.499394623215241,21
5,4,0.1,0.75,"0.05","125","sesonality2",0.633103388948767,35
5,4,0.1,0.75,"0.05","125","sesonality2",0.484686454760812,21
5,4,0.1,0.75,"0.05","150","sesonality2",0.640831815693957,35
5,4,0.1,0.75,"0.05","150","sesonality2",0.488469746559606,21
5,4,0.1,0.75,"0.1","10","sesonality2",0.643162570795671,35
5,4,0.1,0.75,"0.1","10","sesonality2",0.477462094505268,21
5,4,0.1,0.75,"0.1","25","sesonality2",0.620273424887199,35
5,4,0.1,0.75,"0.1","25","sesonality2",0.477613717110013,21
5,4,0.1,0.75,"0.1","50","sesonality2",0.632577314818637,35
5,4,0.1,0.75,"0.1","50","sesonality2",0.468850299141491,21
5,4,0.1,0.75,"0.1","75","sesonality2",0.61719673054423,35
5,4,0.1,0.75,"0.1","75","sesonality2",0.450580919018519,21
5,4,0.1,0.75,"0.1","100","sesonality2",0.615357292275241,35
5,4,0.1,0.75,"0.1","100","sesonality2",0.466735254111695,21
5,4,0.1,0.75,"0.1","125","sesonality2",0.625508519856551,35
5,4,0.1,0.75,"0.1","125","sesonality2",0.47066651412941,21
5,4,0.1,0.75,"0.1","150","sesonality2",0.620012252797378,35
5,4,0.1,0.75,"0.1","150","sesonality2",0.447722353781643,21
5,4,0.1,0.75,"0.2","10","sesonality2",0.60660612413537,35
5,4,0.1,0.75,"0.2","10","sesonality2",0.429459186119248,21
5,4,0.1,0.75,"0.2","25","sesonality2",0.580444245097668,35
5,4,0.1,0.75,"0.2","25","sesonality2",0.401798452094868,21
5,4,0.1,0.75,"0.2","50","sesonality2",0.608910716209631,35
5,4,0.1,0.75,"0.2","50","sesonality2",0.428291215157676,21
5,4,0.1,0.75,"0.2","75","sesonality2",0.578728007958944,35
5,4,0.1,0.75,"0.2","75","sesonality2",0.399900301468269,21
5,4,0.1,0.75,"0.2","100","sesonality2",0.583570090934793,35
5,4,0.1,0.75,"0.2","100","sesonality2",0.391511564128171,21
5,4,0.1,0.75,"0.2","125","sesonality2",0.593229433064372,35
5,4,0.1,0.75,"0.2","125","sesonality2",0.403466900663146,21
5,4,0.1,0.75,"0.2","150","sesonality2",0.582314644772468,35
5,4,0.1,0.75,"0.2","150","sesonality2",0.406422173955878,21
5,4,0.1,0.75,"0.4","10","sesonality2",0.549962933790668,35
5,4,0.1,0.75,"0.4","10","sesonality2",0.375855329592238,21
5,4,0.1,0.75,"0.4","25","sesonality2",0.545822119321255,35
5,4,0.1,0.75,"0.4","25","sesonality2",0.32948669426258,21
5,4,0.1,0.75,"0.4","50","sesonality2",0.533092670009619,35
5,4,0.1,0.75,"0.4","50","sesonality2",0.34383280128841,21
5,4,0.1,0.75,"0.4","75","sesonality2",0.549522982225341,35
5,4,0.1,0.75,"0.4","75","sesonality2",0.349484168103953,21
5,4,0.1,0.75,"0.4","100","sesonality2",0.539469548084608,35
5,4,0.1,0.75,"0.4","100","sesonality2",0.318000971208441,21
5,4,0.1,0.75,"0.4","125","sesonality2",0.542342742430411,35
5,4,0.1,0.75,"0.4","125","sesonality2",0.344008069594184,21
5,4,0.1,0.75,"0.4","150","sesonality2",0.547444866566743,35
5,4,0.1,0.75,"0.4","150","sesonality2",0.345596393748637,21
5,4,0.1,0.8,"0.05","10","sesonality2",0.708193421601713,35
5,4,0.1,0.8,"0.05","10","sesonality2",0.561635857563111,21
5,4,0.1,0.8,"0.05","25","sesonality2",0.681850803304092,35
