"Survey","EIR","MDA"
1132,0.229004,0
1133,0.316978,0
1134,0.428541,0
1135,0.569482,0
1136,0.747276,0
1137,0.96938,0
1138,1.24468,0
1139,1.56797,0
1140,1.91685,0
1141,2.25807,0
1142,2.57084,0
1143,2.84206,0
1144,3.04059,0
1145,3.14162,0
1146,3.14135,0
1147,3.04996,0
1148,2.88932,0
1149,2.67241,0
1150,2.41816,0
1151,2.14915,0
1152,1.88098,0
1153,1.62141,0
1154,1.37797,0
1155,1.15638,0
1156,0.95918,0
1157,0.785871,0
1158,0.636616,0
1159,0.510905,0
1160,0.406934,0
1161,0.321569,0
1162,0.252032,0
1163,0.195637,0
1164,0.150437,0
1165,0.114532,0
1166,0.086117,0
1167,0.063544,0
1168,0.045482,0
1169,0.03102,0
1170,0.019467,0
1171,0.01027,0
1172,0.01,0
1173,0.01,0
1174,0.01,0
1175,0.01,0
1176,0.01,0
1177,0.01,0
1178,0.01,0
1179,0.01,0
1180,0.01,0
1181,0.01,0
1182,0.01,0
1183,0.01,0
1184,0.01,0
1185,0.01,0
1186,0.01,0
1187,0.01,0
1188,0.01,0
1189,0.01,0
1190,0.01,0
1191,0.01,0
1192,0.01,0
1193,0.01,0
1194,0.01,0
1195,0.01,0
1196,0.01,0
1197,0.01,0
1198,0.01,0
1199,0.01,0
1200,0.0232022,0
1201,0.045097,0
1202,0.074514,0
1203,0.112837,0
1204,0.162487,0
1205,0.228282,0
1206,0.317909,0
1207,0.436814,0
1208,0.588051,0
1209,0.77793,0
1210,1.01092,0
1211,1.28342,0
1212,1.59548,0
1213,1.93764,0
1214,2.28216,0
1215,2.60156,0
1216,2.8704,0
1217,3.06457,0
1218,3.16258,0
1219,3.16222,0
1220,3.07459,0
1221,2.91131,0
1222,2.69044,0
1223,2.43484,0
1224,2.164,0
1225,1.89186,0
1226,1.62966,0
1227,1.38451,0
1228,1.16104,0
1229,0.96192,0
1230,0.788109,0
1231,0.639688,0
1232,0.514356,0
1233,0.409534,0
1234,0.323179,0
1235,0.253013,0
1236,0.196512,0
1237,0.151261,0
1238,0.115363,0
1239,0.087073,0
1240,0.064711,0
1241,0.046843,0
1242,0.0324901,0
1243,0.0208413,0
1244,0.0113536,0
1245,0.01,0
1246,0.01,0
1247,0.01,0
1248,0.01,0
1249,0.01,0
1250,0.01,0
1251,0.01,0
1252,0.01,0
1253,0.01,0
1254,0.01,0
1255,0.01,0
1256,0.01,0
1257,0.01,0
1258,0.01,0
1259,0.01,0
1260,0.01,0
1261,0.01,0
1262,0.01,0
1263,0.01,0
1264,0.01,0
1265,0.01,0
1266,0.01,0
1267,0.01,0
1268,0.01,0
1269,0.01,0
1270,0.01,0
1271,0.01,0
1272,0.01,0
1273,0.0241279,0
1274,0.045187,0
1275,0.074085,0
1276,0.113081,0
1277,0.164757,0
1278,0.233184,0
1279,0.323959,0
1280,0.44286,0
1281,0.592803,0
1282,0.779558,0
1283,1.00895,0
1284,1.27915,0
1285,1.5887,0
1286,1.92455,0
1287,2.2558,0
1288,2.56261,0
1289,2.82547,0
1290,3.01467,0
1291,3.11304,0
1292,3.11866,0
1293,3.03972,0
1294,2.89197,0
1295,2.68693,0
1296,2.4407,0
1297,2.17245,0
1298,1.89973,0
1299,1.63572,0
1300,1.38866,0
1301,1.1639,0
1302,0.96384,0
1303,0.788715,0
1304,0.638412,0
1305,0.51182,0
1306,0.406695,0
1307,0.320853,0
1308,0.251281,0
1309,0.195353,0
1310,0.150754,0
1311,0.115362,0
1312,0.087274,0
1313,0.064791,0
1314,0.046744,0
1315,0.0322152,0
1316,0.0204755,0
1317,0.0109777,0
1318,0.01,0
1319,0.01,0
1320,0.01,0
1321,0.01,0
1322,0.01,0
1323,0.01,0
1324,0.01,0
1325,0.01,0
1326,0.01,0
1327,0.01,0
1328,0.01,0
1329,0.01,0
1330,0.01,0
1331,0.01,0
1332,0.01,0
1333,0.01,0
1334,0.01,0
1335,0.01,0
1336,0.01,0
1337,0.01,0
1338,0.01,0
1339,0.01,0
1340,0.01,0
1341,0.01,0
1342,0.01,0
1343,0.01,0
1344,0.01,0
1345,0.01,0
1346,0.0232164,0
1347,0.04503,0
1348,0.073943,0
1349,0.111691,0
1350,0.161302,0
1351,0.22759,0
1352,0.315477,0
1353,0.430537,0
1354,0.580511,0
1355,0.769392,0
1356,1.00183,0
1357,1.28151,0
1358,1.60145,0
1359,1.94141,0
1360,2.27528,0
1361,2.58202,0
1362,2.83627,0
1363,3.01751,0
1364,3.11343,0
1365,3.1173,0
1366,3.03732,0
1367,2.88916,0
1368,2.68089,0
1369,2.43081,0
1370,2.1615,0
1371,1.89118,0
1372,1.63152,0
1373,1.38819,0
1374,1.16466,0
1375,0.96528,0
1376,0.791476,0
1377,0.642777,0
1378,0.51728,0
1379,0.412588,0
1380,0.325988,0
1381,0.255378,0
1382,0.19832,0
1383,0.152418,0
1384,0.115754,0
1385,0.086699,0
1386,0.063688,0
1387,0.045489,0
1388,0.0310733,0
1389,0.019572,0
1390,0.0103388,0
1391,0.01,0
1392,0.01,0
1393,0.01,0
1394,0.01,0
1395,0.01,0
1396,0.01,0
1397,0.01,0
1398,0.01,0
1399,0.01,0
1400,0.01,0
1401,0.01,0
1402,0.01,0
1403,0.01,0
1404,0.01,0
1405,0.01,0
1406,0.01,0
1407,0.01,0
1408,0.01,0
1409,0.01,0
1410,0.01,0
1411,0.01,0
1412,0.01,0
1413,0.01,0
1414,0.01,0
1415,0.01,0
1416,0.01,0
1417,0.01,0
1418,0.01,0
1419,0.0254994,0
1420,0.047256,0
1421,0.07606,0
1422,0.114058,0
1423,0.165579,0
1424,0.236113,0
1425,0.329789,0
1426,0.45225,0
1427,0.609166,0
1428,0.803436,0
1429,1.04047,0
1430,1.31936,0
1431,1.6305,0
1432,1.95918,0
1433,2.28487,0
1434,2.58618,0
1435,2.84508,0
1436,3.0428,0
1437,3.1521,0
1438,3.16409,0
1439,3.08333,0
1440,2.92374,0
1441,2.70566,0
1442,2.44958,0
1443,2.17489,0
1444,1.89745,0
1445,1.6314,0
1446,1.38454,0
1447,1.1618,0
1448,0.96433,0
1449,0.791445,0
1450,0.642341,0
1451,0.515793,0
1452,0.410179,0
1453,0.3234,0
1454,0.252983,0
1455,0.196351,0
1456,0.151163,0
1457,0.115205,0
1458,0.086683,0
1459,0.064153,0
1460,0.046301,0
1461,0.0320458,0
1462,0.0205294,0
1463,0.0111509,0
1464,0.01,0
1465,0.01,0
1466,0.01,0
1467,0.01,0
1468,0.01,0
1469,0.01,0
1470,0.01,0
1471,0.01,0
1472,0.01,0
1473,0.01,0
1474,0.01,0
1475,0.01,0
1476,0.01,0
1477,0.01,0
1478,0.01,0
1479,0.01,0
1480,0.01,0
1481,0.01,0
1482,0.01,0
1483,0.01,0
1484,0.01,0
1485,0.01,0
1486,0.01,0
1487,0.01,0
1488,0.01,0
1489,0.01,0
1490,0.01,0
1491,0.01,0
1492,0.0246416,0
1493,0.046376,0
1494,0.076285,0
1495,0.115837,0
1496,0.166557,0
1497,0.231907,0
1498,0.319065,0
1499,0.436237,0
1500,0.59261,0
1501,0.792441,0
1502,1.03314,0
1503,1.31011,0
1504,1.62053,0
1505,1.95665,0
1506,2.30351,0
1507,2.62785,0
1508,2.887,0
1509,3.06663,0
1510,3.15815,0
1511,3.1614,0
1512,3.07584,0
1513,2.91417,0
1514,2.69688,0
1515,2.44206,0
1516,2.17206,0
1517,1.9011,0
1518,1.63808,0
1519,1.39008,0
1520,1.1641,0
1521,0.96399,0
1522,0.790084,0
1523,0.641418,0
1524,0.515531,0
1525,0.410329,0
1526,0.324012,0
1527,0.254125,0
1528,0.197871,0
1529,0.152758,0
1530,0.116656,0
1531,0.087897,0
1532,0.065047,0
1533,0.046937,0
1534,0.0324935,0
1535,0.0208164,0
1536,0.0112777,0
1537,0.01,0
1538,0.01,0
1539,0.01,0
1540,0.01,0
1541,0.01,0
1542,0.01,0
1543,0.01,0
1544,0.01,0
1545,0.01,0
